Batch Size,Average Cycle Time,Picker Utilization,Orders per labour Hour,Warehouse Throughput
2,132.0877,0.115718693,159.8704542,18.5005758
2,136.99092,0.115115004,162.1566788,18.74815501
2,149.02989,0.117762073,163.4651928,19.32338603
2,135.7498,0.114868904,165.4059483,19.10479483
2,137.07213,0.119720528,158.006877,18.95903349
2,139.04182,0.117260501,161.3217275,18.95446661
2,147.94977,0.115685077,162.798295,18.85079889
2,144.61702,0.107233071,165.9392342,17.81030024
2,144.59654,0.11036506,165.3603046,18.33703753
2,138.60344,0.114482383,160.8690011,18.42351578
2,155.48793,0.108025548,164.3129825,17.78802981
2,150.68018,0.104013022,161.0375281,16.76229887
2,137.51964,0.112141227,164.22744,18.45464732
2,150.37843,0.114374538,162.4778882,18.63581826
2,148.02861,0.11284984,162.4577703,18.33549752
2,137.65892,0.105394963,172.367504,18.20589306
2,149.75957,0.110048943,161.2918711,17.78536576
2,142.72684,0.114196955,167.8386838,19.18830985
2,134.01613,0.117014769,160.2361833,18.76079565
2,148.65721,0.114135141,160.628297,18.38729169
2,136.14038,0.118900351,162.6011455,19.36378444
2,137.24364,0.1172379,160.6420223,18.8591571
2,141.23927,0.113072871,158.7285955,18.04385087
2,140.2558,0.118061872,158.1091872,18.67024036
2,143.18797,0.108989943,164.3882569,17.96285279
2,147.70552,0.105926942,165.9949119,17.6927961
2,162.27306,0.104659963,156.8571807,16.43787115
2,144.83238,0.111235135,159.5718835,17.76670117
3,246.105,0.111154401,173.1825268,19.26924052
3,291.06314,0.10239296,166.027039,17.05611438
3,279.31308,0.107622827,171.8966188,18.60851363
3,257.05582,0.10638422,172.7229848,18.57455197
3,273.56213,0.102413733,168.4344425,17.29499292
3,283.2961,0.088428622,178.1097534,15.842223
3,264.641,0.105962346,177.2400436,19.13482056
3,244.25525,0.108328483,171.7494339,18.59067927
3,252.8293,0.108732873,168.992132,18.47596792
3,255.94609,0.107797095,175.0974821,18.88528688
3,255.27583,0.111028454,168.8756288,18.92494528
3,252.77686,0.120055499,167.630806,20.19851752
3,252.0413,0.110729183,172.7186952,19.13217185
3,240.71297,0.114024626,173.2081977,19.8459506
3,269.54425,0.107517174,165.0899047,17.79191047
3,248.80786,0.110559027,169.5926646,18.85475707
3,238.94928,0.101005076,173.2586184,17.59512201
3,254.95515,0.110247297,173.4736411,19.21794338
3,267.0652,0.100197337,175.9028793,17.75950014
3,252.51726,0.110020816,173.8307405,19.13528327
3,264.11655,0.105193358,169.9251771,17.97125634
3,254.36133,0.102653862,180.217282,18.52629433
3,267.5529,0.107880582,171.5043121,18.55460365
3,247.19756,0.1148494,170.8759464,19.73333698
3,240.77429,0.116048513,174.4959882,20.3736645
3,269.3574,0.111029844,167.7476908,18.62724213
3,278.7952,0.103852925,170.4329356,17.8479688
3,277.5457,0.101805243,166.9855052,17.03104644
4,390.20456,0.101808914,170.2535929,17.52067424
4,358.02786,0.108382561,175.3049558,19.0694317
4,348.49512,0.099665248,180.6045769,18.13085312
4,406.55502,0.102156025,169.6750962,17.44241409
4,356.35202,0.110397173,182.6737598,20.32797503
4,427.0304,0.090083233,177.6135196,16.01078242
4,397.10718,0.093971593,177.3585629,16.71067988
4,361.05948,0.110381825,179.6793389,19.86947096
4,379.25388,0.104956822,174.6750041,18.36205204
4,379.7606,0.09955682,185.5298598,18.56782025
4,372.83984,0.106720271,176.4738152,18.96568365
4,373.30795,0.104835982,179.6456996,18.97077273
4,410.8336,0.098453161,172.6709422,17.06772817
4,382.8525,0.105571419,178.3942426,19.07325951
4,401.63892,0.095911786,172.0330813,16.58259745
4,381.80518,0.100763694,178.8511916,17.9657977
4,375.27988,0.105353182,175.599822,18.54586928
4,359.85452,0.113422201,171.9240141,19.53869888
4,364.67554,0.111913226,175.7313892,19.75410817
4,384.61816,0.108431995,175.2250341,19.02792808
4,367.84903,0.10525464,174.1807622,18.41324591
4,392.30103,0.097524741,181.1506129,17.67165937
4,357.90527,0.111127595,178.4735222,20.03454169
4,360.53745,0.105131516,175.9700686,18.6297979
4,367.3523,0.112393985,174.9797079,19.85007986
4,379.53946,0.105744842,174.9494311,18.86295926
4,367.24918,0.101636881,186.940015,19.01990384
4,368.62354,0.113766197,175.7991442,20.22405193
5,507.35083,0.087602099,185.4978373,16.40369233
5,481.865,0.106682538,175.7550983,18.98395847
5,503.0194,0.097606665,179.2910353,17.71514502
5,509.03354,0.096993406,180.4246368,17.76360916
5,559.66315,0.088877528,180.4918193,16.15459825
5,500.09152,0.102294074,177.1852394,18.17835751
5,484.03284,0.100880263,181.7335993,18.48216621
5,523.13934,0.096845871,181.2120847,17.46642941
5,497.0101,0.101253193,181.0642487,18.34079303
5,517.1535,0.093691588,184.5594355,17.4091623
5,517.86755,0.096137703,182.2060476,17.74673912
5,549.3277,0.084499424,179.9815038,15.29753629
5,499.71216,0.112877628,175.3373716,20.07158159
5,488.9139,0.099961577,179.2355341,17.95124919
5,508.9727,0.094407425,185.3667762,17.5878191
5,480.3644,0.103599219,176.9640112,18.38093795
5,500.81763,0.097312075,177.6929197,17.43341431
5,464.6881,0.109940355,178.1268882,19.60523853
5,471.322,0.094664543,191.4655627,18.42233199
5,508.7264,0.097389565,179.6907101,17.53910156
5,461.78116,0.113655417,181.4695738,20.94322402
5,481.69434,0.099465373,173.8460955,17.32062173
5,502.02103,0.097742742,181.1728722,17.94871903
5,505.00986,0.092899623,186.132797,17.39892986
5,491.4823,0.099631779,179.828834,17.99654852
5,507.41153,0.095669529,180.7437212,17.65575157
5,472.59473,0.101775674,182.1817142,18.64918601
5,490.5609,0.103287884,179.5144403,18.73415451
6,574.5638,0.104406351,185.734685,19.47935291
6,650.97394,0.095717509,182.8296634,17.5828622
6,587.82684,0.095249053,188.978257,18.36675756
6,615.1333,0.105418105,182.6062034,19.38442832
6,598.2945,0.093082559,196.0625079,18.41006413
6,579.7758,0.102376747,178.2631359,18.28362581
6,650.0629,0.091949885,187.6021915,17.31458623
6,589.3507,0.110699256,173.8945736,19.37130894
6,620.9885,0.098769849,182.24185,18.27367547
6,624.0091,0.102145117,178.6673754,18.25487608
6,608.4232,0.103795485,180.6436964,18.93965462
6,604.7121,0.105000203,183.3329784,19.26348043
6,613.3643,0.099084345,179.140307,17.98169195
6,632.0346,0.100860735,178.4638989,18.22972198
6,586.3094,0.102713792,180.1121318,18.75627427
6,587.75415,0.094915924,189.6415192,18.40247762
6,602.91644,0.096883318,190.441253,18.47271419
6,618.36554,0.091845966,187.814455,17.54718598
6,591.2692,0.105484089,182.491977,19.2804205
6,629.3936,0.101163214,180.566813,18.52033233
6,591.1028,0.099577573,193.3166222,19.32482983
6,665.6021,0.09243867,183.9057181,17.15663421
6,582.59015,0.105825525,177.1784269,18.9595175
6,595.3625,0.098834113,184.6528444,18.35123039
6,688.52783,0.091377941,180.5687435,16.53922551
6,568.6911,0.104767694,188.5123093,19.90868346
6,631.56775,0.097702523,176.5563418,17.35449069
6,636.34735,0.098466914,180.2635955,17.77329594
7,705.60815,0.105713616,182.0957487,19.39259164
