Batch Size Zone 1,Batch Size Zone 2,Batch Size Zone 3,Average Cycle Time,Picker Util,Order per labour hr,Warehouse Throughput
2,2,2,355.69595,0.028862243,213.0532036,17.8134274
2,2,2,348.47342,0.032546197,210.2458218,19.74489983
2,2,2,414.28433,0.027552911,212.6293685,17.13518966
2,2,2,322.3617,0.030289934,209.4173216,18.50407954
2,2,2,344.73898,0.02818946,209.8178115,17.58635007
2,2,2,374.86816,0.029445984,208.921707,18.14172736
2,2,2,349.25342,0.029875331,206.6802286,18.41976367
2,2,2,370.42862,0.029460784,216.5365371,18.2983358
2,2,2,384.31662,0.02835085,213.6606141,17.5497733
2,2,2,383.9414,0.029489805,208.4512287,17.85152275
2,2,2,389.93274,0.028221785,210.3798424,17.36820036
2,2,2,320.91183,0.032293018,208.7573153,19.59490719
2,2,2,373.66708,0.030114843,211.4187286,18.56070871
2,2,2,337.61447,0.030465774,207.5437816,18.53088545
2,2,2,367.6561,0.028698437,212.8225013,17.80282126
2,2,2,364.25278,0.030864047,210.781362,19.35491964
2,2,2,339.07397,0.030918621,207.8013469,19.0291094
2,2,2,357.0492,0.02808324,209.8633895,17.18462353
2,2,2,341.25644,0.030463467,213.1684013,18.46149697
2,2,2,340.6881,0.030889931,212.4428742,19.2886879
2,2,2,348.3201,0.030949509,212.2781346,19.38577831
2,2,2,337.10767,0.033265347,214.207703,20.44615903
2,2,2,328.46088,0.031229589,209.0136316,18.67342869
2,2,2,356.03952,0.031934223,214.2304665,19.59510186
2,2,2,395.45386,0.028787524,212.4730073,17.81137387
2,2,2,373.54385,0.030964888,213.3268793,19.31004569
2,2,2,346.77466,0.030360037,210.4263961,18.7335417
2,2,2,344.745,0.029199455,205.565366,17.60386004
3,2,2,423.0463,0.028883849,215.2482548,18.22064106
3,2,2,481.71045,0.028539908,216.3861479,17.98066806
3,2,2,450.2633,0.028935982,219.2609453,18.66287893
3,2,2,446.11423,0.028315648,216.4072918,18.06012624
3,2,2,414.72653,0.028876603,213.4344351,18.28964733
3,2,2,406.6216,0.03024814,213.6192713,19.17161055
3,2,2,449.04453,0.027051873,214.8800345,17.12532653
3,2,2,401.311,0.031359901,218.1597294,20.06537889
3,2,2,395.98865,0.029502284,219.6738473,18.76891019
3,2,2,398.87088,0.030878696,213.9230646,19.54974913
3,2,2,447.53625,0.028020235,219.5017748,17.90868414
3,2,2,417.2202,0.028359715,215.1705805,17.85681555
3,2,2,489.41257,0.028096286,209.4392331,17.13410716
3,2,2,488.69946,0.027094794,211.2619866,17.00639191
3,2,2,475.55725,0.027029255,215.1196666,17.30817386
3,2,2,450.41,0.029167118,219.156714,18.19824227
3,2,2,396.3442,0.031823959,209.1837827,19.4958121
3,2,2,400.92368,0.03001667,213.0909736,19.0144286
3,2,2,455.44827,0.027267233,211.5882458,17.16720376
3,2,2,405.96762,0.028300229,217.7892212,18.08857768
3,2,2,431.8029,0.031149386,211.7187668,19.08521374
3,2,2,421.408,0.030188196,217.3656419,19.59285943
3,2,2,406.60184,0.030327148,214.8334549,19.30104996
3,2,2,462.4192,0.029433044,218.6909991,18.77807043
3,2,2,442.95828,0.026406051,215.2047749,16.8811622
3,2,2,444.11124,0.031935894,213.8132739,20.16051733
3,2,2,476.34903,0.027832689,215.9042792,17.33042303
3,2,2,426.32495,0.030027357,211.5363251,18.63823445
4,2,2,525.88745,0.028784186,214.7968663,18.03370948
4,2,2,579.7869,0.025135481,219.8087634,16.46984749
4,2,2,469.15164,0.029972105,221.7350089,19.47758372
4,2,2,560.133,0.027723252,217.6182155,17.64769414
4,2,2,503.276,0.029138776,215.7112357,18.7876589
4,2,2,501.12094,0.028258618,221.5956781,18.45853202
4,2,2,573.38086,0.025403235,226.3252219,16.80244293
4,2,2,528.40186,0.029412577,213.5321398,18.60624847
4,2,2,584.6131,0.027378594,210.7966013,17.31603245
