Number of Pickers,Cycle Time,picker utilization,Orders per Labour Hour,Throughput
1,270.51917,0.099847319,174.0156892,17.40413854
1,243.36566,0.110520082,174.1764904,19.26411569
1,262.00525,0.109412215,172.5127314,18.92867035
1,251.03285,0.104225498,177.4997513,18.63704983
1,253.41559,0.109807192,175.3072779,19.33660369
1,246.64098,0.115012003,171.7212065,19.81021989
1,262.60745,0.105263998,173.3736168,18.29222561
1,256.49844,0.109570303,172.2638301,18.97411329
1,257.63565,0.094279703,177.6628413,16.84196265
1,252.02165,0.113814398,170.2332947,19.4837034
1,270.66794,0.103616584,160.5139169,16.66219342
1,279.69638,0.10026078,169.5578268,17.03623166
1,281.58725,0.102328843,172.2388276,17.80993218
1,253.52919,0.107638552,174.1940929,18.75927238
1,268.57214,0.103910086,168.4148355,17.61106081
1,263.02295,0.098775023,175.9047932,17.40275933
1,258.58957,0.108725884,165.5539545,18.06516545
1,253.37779,0.107673642,171.8154946,18.50689064
1,258.72278,0.1070157,169.3676722,18.29939787
1,259.38907,0.110175334,170.1832824,18.87582058
1,245.40898,0.109291933,170.8675138,18.75258082
1,264.32645,0.108370355,169.5574407,18.37890279
1,237.02667,0.110508673,176.4567382,19.53125773
1,267.00375,0.102521611,171.9149727,17.63721332
1,286.6149,0.103912769,169.6134187,17.63908592
1,271.26712,0.110186264,167.897516,18.5657917
1,237.9474,0.113870037,174.5410867,19.99431875
1,253.70654,0.116616434,168.2867445,19.82379379
2,252.34761,0.056973755,168.2595774,19.25030498
2,257.32492,0.058413883,169.1800564,19.63888457
2,251.38243,0.053814763,169.7003323,18.27449161
2,253.85103,0.0542805,174.0559181,18.95684146
2,262.0826,0.054985051,170.5008872,18.80277129
2,261.74564,0.052395296,172.1704848,18.2454484
2,234.72478,0.057238339,174.5501043,19.90421427
2,284.2108,0.051188343,170.2995846,17.42420049
2,249.69592,0.055043127,175.126589,19.1860855
2,266.49606,0.055069933,171.1923096,18.80305949
2,247.59236,0.053000249,176.9527871,18.80635815
2,266.0019,0.054758134,164.8117549,18.05365281
2,255.69768,0.055367155,171.5818707,19.05410971
2,266.66638,0.051209843,174.7008544,17.99159353
2,273.36017,0.053746924,168.6143013,18.2380884
2,254.2535,0.055430505,175.8959246,19.50083853
2,269.14108,0.052687216,170.4005517,17.92719531
2,278.48752,0.050828156,167.2301475,17.05203508
2,268.94983,0.053977689,167.4275822,18.04783199
2,238.71977,0.056389792,174.3190068,19.66812329
2,248.41536,0.057940956,167.3621578,19.53675623
2,244.42998,0.056097172,170.4631399,19.17134526
2,241.90904,0.05479553,173.6653495,19.03739689
2,263.95407,0.055976148,169.715145,19.16041185
2,271.6028,0.053613514,170.1996269,18.26991041
2,244.57935,0.054587207,177.4683216,19.39387282
2,263.3688,0.052661942,173.4438888,18.16894064
2,269.02762,0.051966023,170.7846699,17.76820732
3,269.40665,0.03431582,169.989623,17.58956293
3,260.19687,0.037451266,169.1086579,19.07230346
3,250.07237,0.037825897,169.6865339,19.18957876
3,270.52362,0.036402966,169.8480499,18.56991621
3,264.32883,0.034194196,177.9172062,18.27964627
3,267.17905,0.033718662,171.7644284,17.39251755
3,250.60376,0.037956668,168.2718467,19.24568824
3,246.96858,0.035411052,174.1452544,18.60286864
3,262.75107,0.034625203,169.6740977,17.68998719
3,266.05313,0.036000869,172.666404,18.72335728
3,245.94969,0.037010408,173.4882199,19.31828704
3,253.61806,0.03475421,171.7662093,17.96847598
3,254.17473,0.038586945,164.8229559,19.14690506
3,258.0668,0.034923136,168.3164945,17.6217606
3,274.93472,0.034436723,163.5667202,16.93555223
3,272.4648,0.034718459,171.6186004,18.01844193
3,299.8413,0.034136568,163.9526359,16.85910757
3,263.84653,0.034691278,173.3976601,18.10356503
3,264.51437,0.03575011,172.6205892,18.56033355
3,261.13937,0.036068225,169.8170625,18.46227392
3,282.2783,0.036062636,166.3722978,17.94342465
3,246.16626,0.035617349,172.00864,18.46599189
3,251.23259,0.034964979,179.9419559,18.90859703
3,253.51689,0.038781533,166.5311504,19.40209884
3,263.13705,0.032126181,173.0997371,16.65181103
3,251.78307,0.036344813,174.4013018,19.02376381
3,250.1049,0.033568553,170.4519757,17.17881531
3,278.56696,0.036336694,164.9067261,18.24508559
4,250.00612,0.026953923,170.4297393,18.38766304
4,261.61484,0.027095733,165.3178182,18.00260646
4,272.6484,0.026629217,169.0056823,18.03502259
4,259.51993,0.027958098,167.2786574,18.73778763
4,274.5515,0.026930057,175.2224318,18.97561089
4,269.0789,0.026659284,169.9887839,18.17771397
4,269.65158,0.025930543,178.7498401,18.6258029
4,248.96625,0.027087437,173.0507022,18.85670206
4,275.14868,0.022999667,179.3504236,16.55437321
4,248.86055,0.027713052,170.8188704,18.88634184
4,264.8246,0.026154613,172.3555457,17.91577892
4,257.08682,0.026211295,173.3342436,18.14535544
4,263.29697,0.027300161,168.2682353,18.38091193
4,257.75037,0.027237367,172.2889931,18.78059554
4,262.50555,0.025018537,178.6175559,17.9620816
4,258.0988,0.02522325,180.3076553,18.23963655
4,248.2267,0.025866707,175.3972433,18.20156952
4,261.14316,0.027723158,169.4229394,18.97232307
4,261.86832,0.026927039,176.4026095,19.04773951
