Number of Pickers,Cycle Time,Picker Utilization,Order Per Labour Hour,Throughput
3,30.082344,0.045645329,137.5949267,17.46538207
3,30.232206,0.04116113,140.5029122,15.84940155
3,30.112732,0.047739486,139.1842494,18.54582589
3,30.803896,0.048366015,139.0536629,18.30319203
3,30.007177,0.045823901,140.4947125,18.09181932
3,30.58401,0.047984897,143.2005144,18.81916799
3,29.872671,0.048850014,141.2099202,19.2878164
3,30.060175,0.044158658,138.7488455,17.16642474
3,29.823755,0.049500178,137.6057035,19.1559321
3,30.043442,0.047694639,138.9523684,18.62478485
3,29.967382,0.047199518,140.6912096,18.54676749
3,29.928934,0.048628854,136.4539312,18.6712604
3,29.791082,0.045929035,136.6586282,17.60706971
3,30.20401,0.045388471,139.0880346,17.59245066
3,30.105963,0.04917286,139.6491892,19.08681243
3,30.76429,0.051732794,138.7172251,19.45149936
3,30.357483,0.045149477,143.9782009,17.99919644
3,30.19972,0.046045532,144.8170404,18.46749446
3,29.802086,0.047959559,137.919967,18.72930113
3,30.262604,0.049420675,138.3170847,18.97715345
3,30.937666,0.051401831,139.559162,19.34948958
3,30.700302,0.049601631,142.3906097,19.26156381
3,30.28697,0.047173216,141.8346743,18.67497892
3,30.022001,0.045531637,137.9197869,17.52402162
3,30.189981,0.048958535,140.41586,19.17920066
3,29.886354,0.04498135,140.7185224,17.55605243
3,30.256052,0.046071543,140.0635151,17.98796459
3,30.281532,0.045274694,141.5335828,17.72968204
4,29.879374,0.034782828,138.4283991,17.97194579
4,30.721247,0.036927997,137.8197473,18.66523875
4,29.573862,0.037145179,141.0211958,19.72054396
4,30.018042,0.035076043,143.5876915,18.50784142
4,30.60343,0.033959781,138.464436,17.27706286
4,29.869135,0.031814302,141.7585413,16.7587562
4,29.379808,0.0318383,141.6567705,17.0481796
4,30.644075,0.037119641,138.4052882,18.71416404
4,30.410116,0.038245489,138.2006149,19.40873023
4,30.072912,0.034535894,139.8233689,17.87199244
4,30.770876,0.033309284,144.6972257,17.23303079
4,30.696304,0.037892184,137.9997697,19.00329266
4,30.249277,0.038493285,137.1270338,19.47096979
4,30.565277,0.036200165,139.2435122,18.31576561
