Number of Pickers,Cycle Time,Picker Utilization,Order Per Labour Hour,Throughput
1,674.35956,0.080725538,241.5592458,19.73849088
1,606.08594,0.087000977,242.813365,21.36100011
1,711.65137,0.078243937,239.6351815,18.75817543
1,743.4577,0.074106673,241.9621462,17.9911362
1,746.5584,0.070876179,250.4367524,18.13872998
1,688.59674,0.072328302,241.9523136,17.75307226
1,592.2846,0.078422658,240.6829936,19.15640586
1,618.1842,0.079595394,241.8481656,19.37780402
1,660.7524,0.080266874,241.3822654,19.64876909
1,627.8252,0.081347141,238.1767788,19.4744952
1,722.0213,0.074443743,240.1142027,18.10677809
1,639.5378,0.07834486,245.7085256,19.46812139
1,722.999,0.067690114,243.757898,16.60056846
1,658.43286,0.077334548,240.8367358,18.83699581
1,743.41455,0.075709481,237.7509366,18.19176594
1,760.7784,0.06841098,244.8437387,16.87441315
1,665.5516,0.080126316,237.1255901,19.10039014
1,626.5542,0.077832614,244.1136055,19.09708195
1,628.7996,0.078795342,237.5231867,18.78192959
1,693.16455,0.074702992,244.3007911,18.51360796
1,695.3172,0.077084098,239.9976207,18.60883991
1,599.9195,0.082570161,242.2182521,20.1495712
1,725.2371,0.072224411,240.569634,17.63131226
1,677.27954,0.07486667,237.0881458,18.05418411
1,731.1071,0.07793675,245.3912961,19.1612761
1,735.0728,0.0715317,246.3942574,17.76123265
1,742.3193,0.071519646,242.940241,17.6175741
1,638.1386,0.079617175,244.9220289,19.61849907
2,741.1929,0.038256361,247.1486318,18.28874887
2,654.01495,0.038550442,242.2261269,18.34347817
2,676.2989,0.039011166,243.2738752,18.83679404
2,725.9797,0.037188427,240.6473387,18.09871402
2,615.92377,0.041903012,241.2803923,19.74223559
2,732.6071,0.033503951,252.7244194,16.77255896
2,659.4649,0.035631325,246.3385284,17.27677681
2,711.5239,0.038480351,244.6922808,18.41230784
2,670.08124,0.03880013,248.8809681,19.03560988
2,614.0903,0.042759167,243.2720224,20.69361944
2,692.91925,0.036302791,244.7656774,17.39441568
2,637.6003,0.035585118,244.1952043,17.38186095
2,620.2407,0.036888915,242.4643161,17.70000259
2,747.0308,0.036460577,250.4615752,17.76745063
2,671.0032,0.039315522,244.373678,18.74651395
2,712.51953,0.035777175,250.4157462,17.80304822
2,770.21063,0.03513734,241.3209463,17.19818443
2,694.24854,0.039031279,249.5388846,18.74251284
2,587.9052,0.040100423,240.897021,19.26158625
2,683.82135,0.037360798,243.6954531,18.22405497
2,603.6573,0.040800058,248.8938705,19.72212547
